FIRM'S NAME,LATITUDE,LONGITUDE,AMOUNT OF WASTE,REGION,,,
ASLANSOY TEKST?L SAN. VE T?C. A.?.,37.14790531,37.28844418,42,1,,,
B?LG?NLER TEKST?L ÖRME SAN. VE T?C. LTD. ?T?.,37.1519196,37.29109041,115,1,,,
DOKUTEKS HALI TEKST?L SANAY? VE T?CARET A.?.,37.94687299,37.38539911,91,1,,,
ERKENT TEKST?L SANAY? VE T?C.A.?.,37.08779208,37.44104434,14,1,,,
GÜLSAN SENTET?K DOKUMA SAN. VE T?C. A.?.,37.15096558,37.29239802,73,1,,,
GÜR ?PL?K SAN. VE T?C. A.?.,37.15214295,37.2836725,128,1,,,
KALETEKS HAL?T KALEO?LU TEKST?L SANAY? VE T?CARET LTD.?T?.,37.16403018,37.29338798,89,1,,,
KARAN TEKST?L SAN VE T?C.A.?.,37.14410415,37.29309477,29,1,,,
KARASAN ?PL?K SAN VE T?C. A.?.,37.15105877,37.29621916,99,1,,,
KEVSER HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.15586534,37.39831695,118,1,,,
K?MBCF ?PL?K SAN. VE T?C. A.?.,37.15593953,37.29501953,44,1,,,
KUSVA DI? T?C. VE TEKST?L SAN. LTD.?T?.,37.14709883,37.29678141,134,1,,,
OR-AL TEKST?L SAN. T?C. A.?.,37.1498617,37.295877,59,1,,,
PAK ELYAF TEKST?L GIDA VE ?N?. SAN. VE T?C. A.?.,37.15566534,37.29720354,122,1,,,
POYTEKS TEKST?L AMBALAJ SAN. VE T?C. LTD. ?T?.,37.14662405,37.29614617,8,1,,,
STAR PP TEKST?L SANAY? VE T?CARET LTD.?T?.,37.15273485,37.28827851,40,1,,,
?ERBETÇ? FLAMENT ?PL?K SAN. VE DI? T?C. LTD.?T?.,37.09312142,37.38916163,149,1,,,
??R?N MENSUCAT TEKST?L SAN. VE T?C. A.?.,37.14356095,37.29594536,75,1,,,
ÜSTÜN TEKST?L SAN. VE T?C. A.?,37.06707745,37.3830954,106,1,,,
AHMET ASLANSOY PAMUK TEKST?L SANAY? VE T?CARET A.?.,37.16972252,37.30482863,132,2,,,
AKCANLAR TEKST?L SAN. VE T?C. A.?.,37.16969155,37.30195265,54,2,,,
AKIN POL?P TEKST?L SANAY? VE T?CARET LTD.?T?.,37.11136721,37.44265852,103,2,,,
AKIN POL?P TEKST?L SANAY? VE T?CARET LTD.?T?. 2,37.18607825,37.30636812,68,2,,,
AKINAL SENTET?K TEKST?L SAN.VE T?C.A.?.,37.16232888,37.30469727,140,2,,,
AKSA TEKST?L SAN. VE T?C. A.?.,37.16207042,37.30829178,17,2,,,
ARICILAR TEKST?L TA?. ?N?. SAN. VE T?C. A.?.,37.16673282,37.31308634,82,2,,,
ARMA?AN TEKST?L SANAY? VE T?CARET LTD.?T?.,37.08754153,37.44108526,141,2,,,
ARMA?AN HALI ,37.08733613,37.44022696,38,2,,,
AZ?Z PAMUK TEKST?L T?C.VE SAN.LTD.?T?.,37.15796742,37.31226903,111,2,,,
BA?DAT TEKST?L HALI SAN VE T?C.LTD. ?T?.,37.09335823,37.37330319,51,2,,,
BERKSAN AMBALAJ GER? DÖNÜ?ÜM TEKST?L SAN. VE T?C. LTD. ?T?.,37.16270006,37.31923784,120,2,,,
BULUT TEKST?L SAN VE T?C.LTD ?T?.,37.16630882,37.29369588,96,2,,,
BULUT TEKST?L SAN VE T?C.LTD ?T?. 2,37.16803583,37.30116315,26,2,,,
BULUT TEKST?L SAN VE T?C.LTD ?T?. 3,37.16447918,37.29511209,117,2,,,
BURTEKS TEKST?L SAN. VE T?C. A.?.,37.16373565,37.29871633,43,2,,,
BÜKÜCÜ TEKST?L SAN.VE T?C.LTD.?T?.,37.16329016,37.31284419,135,2,,,
CAMEL TEKST?L SANAY? VE T?CARET A.?.,37.16144388,37.31804571,57,2,,,
CANAN TEKST?L SAN. VE T?C. A.?.,37.1587922,37.38779916,123,2,,,
ÇEL?KASLAN TEKST?L SAN. VE T?C.A.?.,37.15819742,37.30952212,67,2,,,
DAHHAN TEKST?L PLAST?K SAN. VE T?C. LTD. ?T?.,37.16695352,37.29856546,136,2,,,
GAMA ?PL?K DOKUMA SANAY? A.?.,37.16321803,37.31878603,52,2,,,
ALPSAN HALI SAN T?C. LTD. ?T?.,37.16268126,37.31132172,146,2,,,
D?LEK HALI A.?.,37.16284203,37.31208295,85,2,,,
ERKAN TEKST?L SAN. A.?,37.17569097,37.32804394,22,2,,,
ERKAPLAN ?PL?K HALI TEKS. GIDA SAN. VE T?C. LTD. ?T?.,37.16824831,37.31055101,109,2,,,
ERUSLU TEKST?L SANAY? VE T?CARET A.?.,37.15918529,37.31740254,34,2,,,
FLAMENT TEKST?L SAN. VE T?C. A.?.,37.16463013,37.30954848,110,2,,,
GENERAL TEKST?L SAN. VE T?C. A.?.,37.15940239,37.28490803,66,2,,,
GLOBAL HALI SANAY? VE T?CARET LTD.?T?.,37.17040459,37.28742412,139,2,,,
GÜR ?PL?K SAN. VE T?C. A.?.,37.15214295,37.28384416,6,2,,,
GÜRTEKS ?PL?K SAN VE T?C.A.?.,37.16468184,37.297472,148,2,,,
GÜRYÜN TEKST?L SAN.VE T?C.A.?.,37.16468095,37.29180717,76,2,,,
GÜVEN GIDA SAN. VE T?C. A.?.,37.12299288,37.3951286,108,2,,,
HALISAN ELYAF ?PL?K TEKST?L SAN. VE T?C. A.?.,37.16097648,37.30771572,11,2,,,
HATEM TEKST?L SAN.VE T?C.A.?.,37.15942639,37.29868083,80,2,,,
HCZ TEKST?L SAN. VE T?C. LTD. ?T?.,37.1688921,37.29151312,28,2,,,
HALISAN ELYAF ?PL?K TEKST?L SAN. VE T?C. A.?.,37.16162764,37.30850756,127,2,,,
KARAFIBER TEKST?L SAN. VE T?C. A.?,37.08495375,37.42078773,46,2,,,
Dönmez Hal? ve tekstil sanayi ticaret limited ?irketi,37.19805275,37.37951452,116,2,,,
KARAN TEKST?L SAN VE T?C.A.?.,37.16110798,37.30503321,64,2,,,
KARMEN TEKST?L SANAY? VE T?CARET LTD.?T?.,37.16645113,37.30966694,144,2,,,
KAYAO?LU ?PL?K VE PLAST?K SAN. VE T?C. LTD. ?T?.,37.16817045,37.31531722,77,2,,,
KULE TEKST?L SANAY? VE T?CARET LTD.?T?.,37.16615894,37.31024839,100,2,,,
KURT KUMA? SANAY? VE T?CARET A.?.,37.16952981,37.29484085,14,2,,,
MERT-SA TEKST?L GIDA TARIM ÜRÜNLER? ÇIRÇIR VE PRESE SAN. VE T?C. LTD.?T?,37.16647513,37.30752852,79,2,,,
MER?Ç ?PL?K PAZARLAMA T?C. VE SAN. LTD. ?T?.,37.16815521,37.29779055,12,,,,
M?MOZA TEKST?L-AY?E PINAR TOPÇUO?LU,37.17225981,37.34953914,78,2,,,
MOGUL TEKST?L SANAY? VE T?C.A.?.,37.16901963,37.29711485,20,2,,,
Mogul Kumas Sanayi Ve Ticaret Ltd Sti,37.16737814,37.29625654,102,2,,,
ÖZEREN DOKUMA MALZEMELER? TEKS. SAN. VE T?C. LTD. ?T?.,37.16163397,37.29435903,33,2,,,
NOVA AKR?L?K ?PL?K SAN. VE T?C. A.?.,37.16721622,37.31450607,130,2,,,
ÖZSEVER TEKST?L SAN.VE T?C.A.?.,37.18579967,37.29983841,56,2,,,
POLYSAN TEKST?L SAN. VE T?C. A.?.,37.09371359,37.44362857,145,2,,,
REGNUM HALI ?Ç VE DI? T?C. LTD. ?T?.,37.16206323,37.30086462,88,2,,,
REPART ENDÜSTR?YEL ÜRÜNLER TEKS. SAN. T?C. LTD. ?T?.,37.08642665,37.44136551,39,2,,,
ASAFJÜT ?PL?K TEKST?L SAN. VE T?C. A.?.,37.1775434,37.31519592,114,2,,,
SAYDAM TEKST?L SANAY? T?CARET LTD.?T?.,37.16703102,37.30927091,64,2,,,
SHAG RUGS HALI SAN. VE T?C. A.?.,37.16322567,37.30518054,133,2,,,
STS DI? T?CARET VE TEKST?L SAN. LTD. ?T?.,37.15903738,37.31237757,60,2,,,
??REC? TEKST?L SAN. VE T?C. A.?.,37.16327802,37.30950903,129,2,,,
TAT TEKST?L SAN. VE T?C. A.?.,37.16357236,37.28405124,15,2,,,
TEKSMEN MENSUCAT SAN. VE T?C. A.?.,37.19280836,37.29665004,92,2,,,
TEYKA TEKST?L SAN. VE T?C. LTD. ?T?.,37.16560227,37.29805006,47,2,,,
TEYMUR TEKST?L SAN. VE T?C. A.?.,37.17105171,37.31310303,137,2,,,
TUTEKS TEKST?L T?C. LTD. ?T?.,37.09638636,37.44093543,69,2,,,
Ufuk Hal? Fabrikasi LTD. ?T?.,37.17038069,37.40866173,142,2,,,
YENER PAMUK TEKST?L SANAY? VE T?CARET LTD.?T?.,37.17647657,37.30312686,7,2,,,
VETA TEKST?L SAN. VE T?C. LTD. ?T?.,37.16090128,37.30993436,31,2,,,
ZAFER TEKST?L SAN.VE T?C.A.?.,37.16454205,37.32403462,108,2,,,
ADAM DI? T?CARET LTD.?T?.,37.16811822,37.33359687,25,3,,,
AKAN HALI GIDA TA?.SANAY? VE T?CARET LTD. ?T?.,37.1884781,37.31846306,79,3,,,
ALP?N HALI SAN. VE T?C. LTD. ?T?.,37.17008121,37.29421894,142,3,,,
ATEKS ÖRME DOKUMA VE TEKS. MAK. SAN. VE T?C. LTD. ?T?.,37.16710333,37.32609199,66,3,,,
ART CARPET SAN.VE T?C.A.?.,37.17538734,37.322028,12,3,,,
BA?EL TEKST?L T?C. VE SAN. A.?.,37.16405075,37.33776176,33,3,,,
BAYEL TEKST?L SANAY? VE T?C.A.?.,37.0626613,37.38437759,100,3,,,
BE?END? HALI TEKST?L SAN.VE T?C.LTD. ?T?,37.16329656,37.33463474,56,3,,,
BERRTEKS TEKST?L MAK?NA SAN. VE T?C.LTD.?T?.,37.16670356,37.34559855,121,3,,,
B?SKA TEKST?L SAN. VE T?C. A.?.,37.17883241,37.3232814,137,3,,,
BÜNYAN HALI SAN.VE T?C.A.?.,37.16529384,37.35313828,69,3,,,
ÇABUK AMBALAJ SENTET?K ÇUVAL SAN. VE T?C.LTD.?T?.,37.16000418,37.40679637,142,3,,,
ÇAPAN DOKUMA HALI TEKS. SAN. VE T?C. LTD. ?T?.,37.16514587,37.33244144,7,3,,,
ÇAPAN DOKUMA HALI TEKS. SAN. VE T?C. LTD. ?T?. 2,37.17000199,37.33909332,31,3,,,
DÖNMEZ HALI VE TEKST?L SAN. T?C. LTD. ?T?.,37.17343609,37.2978037,108,3,,,
ELEPHANT TEKST?L SAN. VE T?C. LTD. ?T?.,37.17163715,37.33194499,25,3,,,
ELYAF ?PL?K SANAY? VE T?CARET A.?.,37.16655354,37.33359577,79,3,,,
GAZ? ?PL?K SAN.VE T?C.LTD.?T?.,37.18702451,37.30649558,142,3,,,
ERDAL TEKST?L SANAY? VE T?CARET LTD. ?T?.,37.16807203,37.33261783,66,3,,,
ER-JÜT TEKST?L ?TH. ?HR. SAN VE T?C. LTD. ?T?.,37.16570833,37.35258197,12,3,,,
ERKOLLAR JÜT ?PL?K TEKST?L ?TH.?HR.SAN. VE T?C. LTD. ?T?.,37.19675274,37.33704776,33,3,,,
FISTIK TEKST?L SAN.VE T?C.A.?.,37.18697015,37.3132102,100,3,,,
MEM-FA TEKST?L -F?L F?LTRE A.?.,37.09797,37.44249013,56,3,,,
GÜRTEKS ?PL?K SAN VE T?C.A.?.,37.16468184,37.29764366,121,3,,,
GÜLSAN SENTET?K DOKUMA SAN. VE T?C. A.?.,37.17398971,37.30529311,137,3,,,
HASIRCI TEKST?L SAN. VE T?C. A.?.,37.16604114,37.34064194,50,3,,,
?PEK MEK?K HALI TEKST?L SAN. VE T?C. A.?.,37.19331867,37.31850544,145,3,,,
KARAR TEKST?L SAN.VE T?C.LTD.?T?.,37.17535354,37.35018782,93,3,,,
KARDELEN HALI VE TEKST?L SAN.T?C.LTD.?T?.,37.18736239,37.31104654,104,3,,,
KARNAVAL HALI SAN. VE T?C. LTD. ?T?.,37.16200597,37.31557614,60,3,,,
KAYA PUMUKÇULUK TEKST?L GIDA VE TARIM ÜRÜNLER? PAZ. SAN. VE T?C. A?.,37.19490825,36.72751328,71,3,,,
MAKRO ?PL?K SAN. VE T?C. LTD. ?T?,37.16553994,37.33265859,131,3,,,
LOTUS ?PL?K SAN VE T?C LTD ?T?,37.16516578,37.33306202,45,3,,,
MDZ ?PL?K SAN. VE T?C. LTD. ?T?.,37.16340215,37.33671051,126,3,,,
MEAS ÖRGÜ TEKST?L BOYA SAN. VE T?C. LTD. ?T?.,37.06631725,37.37808361,20,3,,,
MOGUL TEKST?L SANAY? VE T?C.A.?.,37.17390564,37.33196838,86,3,,,
OL?MP?YAT HALI TEKST?L TUR?ZM GIDA SAN. ?Ç DI? T?C. LTD. ?T?.,37.18342909,37.32228123,97,3,,,
ONUR COTTON TEKST?L SAN. VE T?C. A.?.,37.16633852,37.32791517,10,3,,,
ÖZNUR TEKST?L HALI SAN. VE T?C.LTD. ?T?.,37.1680482,37.33629706,112,3,,,
ÖZPANCAR ?PL?K TEKST?L SAN. VE T?C. LTD. ?T?.,37.18773178,37.31475161,31,3,,,
ÖZSEVER TEKST?L SAN.VE T?C.A.?.,37.18129147,37.30272121,138,3,,,
PARS HALICILIK SAN. VE T?C. A.?.,37.16815441,37.30527525,6,3,,,
PERSU ÖRME VE HALI SAN. T?C. A.?.,37.18296783,37.31247414,105,3,,,
PLUS ?PL?K SAN. VE T?C. A.?.,37.14995866,37.29818249,150,3,,,
??REC? TEKST?L SAN. VE T?C. A.?.,37.16522307,37.31013574,72,3,,,
??RVAN TEKST?L SAN. VE T?C.LTD. ?T?.,37.16493594,37.34551643,119,3,,,
TA?DELEN MONAL?ZA CARPET NAK.SAN.T?C.LTD.?T?.,37.19167956,37.31618313,41,3,,,
UNIQUE LOOM TEKST?L SAN. VE T?C. A.?.,37.17404876,37.32287488,130,3,,,
ÜNAL SENTET?K DOKUMA SAN. VE T?C. A.?.,37.18380171,37.31602707,63,3,,,
SAF? MED?KAL TEKST?L SAN. ?Ç VE DI? T?C. A.?.,37.1707918,37.33298738,147,3,,,
SAFYÜN HALI TEKST?L SAN. VE T?C. A.?.,37.17434058,37.32680673,19,3,,,
SANKO TEKST?L ??LETMELER? SAN. VE T?C. A.?.,37.09854211,37.4347683,107,3,,,
SAYIN TEKST?L SAN. VE T?C. A.?.,37.18607649,37.31288713,23,3,,,
SEY?T POLYESTER TEKST?L SANAY? ?Ç VE DI? T?CARET L?M?TED ??RKET?,37.16381505,37.29595358,98,3,,,
S?M DOKUMA TEKST?L SANAY? VE T?CARET LTD.?T?.,37.19134085,37.31299576,35,3,,,
YAREN HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.16958469,37.33318717,113,3,,,
YÜRBAY TEKST?L SANAY? VE T?CARET LTD. ?T?.,37.16610592,37.34326205,48,3,,,
ZEK? MENSUCAT SAN.VE T?C. A.?.,37.17030329,37.32301935,141,3,,,
AHS HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.159748,37.376845,69,4,,,
AKINAL SENTET?K TEKST?L SAN. VE T?C. A.?.,37.174357,37.382037,125,4,,,
ANGEL HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.155078,37.403138,37,4,,,
ARYA HALI SAN. VE T?C. LTD. ?T?.,37.159728,37.393029,101,4,,,
BADE DOKUMA TEKST?L HALI SAN. VE T?C. A.?.,37.166013,37.388646,62,4,,,
BALAT MENSUCAT SAN. VE T?C. A.?.,37.154449,37.391973,135,4,,,
BA?ARAN HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.207934,37.339962,5,4,,,
ÇABUK AMBALAJ SENTET?K ÇUVAL SAN. VE T?C. LTD. ?T?.,37.172895,37.40131,143,4,,,
ÇEL?KASLAN TEKST?L SAN. VE T?C. A.?.,37.159821,37.308476,70,4,,,
EMPERA HALI SAN. VE T?C. A.?.,37.169093,37.38263,128,4,,,
ERDEM SOFT TEKST?L A.?.,37.158912,37.379197,16,4,,,
ERUSLU TEKST?L SANAY? VE T?CARET A.?.,37.158604,37.317499,90,4,,,
FEL?S HALI TEKST?L GIDA SAN. VE T?C. A.?.,37.154061,37.378424,49,4,,,
GRAND HALI TEKST?L SAN. VE T?C. A.?.,37.163505,37.385658,111,4,,,
HAS SENTET?K DOKUMA SAN. VE T?C. A.?.,37.166013,37.374555,51,4,,,
KAPLAN KARDE?LER HALI SANAY? VE T?C. A.?.,37.168082,37.377205,133,4,,,
KAPLANSER HALI GIDA TEKST?L SAN. T?C. A.?.,37.158931,37.388416,74,4,,,
KARDE?LER KONFEKS?YON BOYA VE ÖRME SANAY? T?C. LTD. ?T?.,37.161381,37.40531,147,4,,,
KARTAL HALI TEKST?L SAN. VE T?C. A.?.,37.139908,37.371822,29,4,,,
KCTEKKS TEKST?L ?N?AAT GIDA SAN. VE T?C. LTD. ?T?.,37.170974,37.33089,106,4,,,
KEVSER HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.155182,37.398049,65,4,,,
MEL?KE ?PL?K SAN. VE T?C. A.?.,37.154568,37.380347,138,4,,,
MER?NOS HALI SAN. VE T?C A.?.,37.146075,37.385954,30,4,,,
MSG ?PL?K SAN. VE T?C. A.?.,37.16083,37.387987,119,4,,,
MUTA? HALI A.?.,37.151627,37.374064,54,4,,,
OKKIRAN TEKST?L GIDA SAN. VE T?C. LTD. ?T?.,37.166844,37.332893,149,4,,,
OTTAVA TEKST?L SAN. VE T?C. A.?.,37.157072,37.395451,84,4,,,
ÖZDURAK PAMUK DOKUMA TEKST?L SAN. T?C. A.?.,37.153586,37.37534,136,4,,,
ÖZKAPLAN ?PEK HALI TEKST?L SAN. VE T?C. A.?.,37.156467,37.395921,67,4,,,
RAD TEKST?L SAN. VE T?C. A.?.,37.155621,37.37838,148,4,,,
REYHAN HALI TEKST?L SAN. VE T?C. A.?.,37.152187,37.399348,22,4,,,
RE?S HALI TEKST?L SAN.T?C.A.?.,37.15143588,37.40211899,99,4,,,
ROZA HALI SAN. VE T?C. A.?.,37.157789,37.404883,43,4,,,
TOWERS KEÇEC? HALI ?PL?K TEKST?L SAN. VE T?C. LTD. ?T?.,37.161531,37.39152,124,4,,,
U?URSER HALI TEKST?L SAN. VE T?C. A.?.,37.156826,37.405023,58,4,,,
UNITEX ?PL?K SAN. VE T?C. A.?.,37.15404,37.39366,132,4,,,
YAS?N KAPLAN TEKST?L VE HALI SAN. T?C. A.?.,37.161641,37.315401,73,4,,,
ZAFER TEKST?L SAN.VE T?C. A.?.,37.166251,37.325099,140,4,,,
AHMET ASLANSOY PAMUK TEKST?L SANAY? VE T?CARET A.?,37.18366393,37.3824414,31,5,,,
AHV K?MYA DI? T?CARET A.?.,37.19566938,37.33807789,116,5,,,
AKCANLAR TEKST?L SAN. VE T?C. A.?.,37.17778937,37.37345296,80,5,,,
AKINAL TEKST?L SAN. VE T?C. A.?.,37.15878292,37.34502876,45,5,,,
ALKA HALI TEKST?L SAN. VE T?C. A.?.,37.17861003,37.33185761,134,5,,,
ANTA? MENSUCAT SAN. VE T?C. LTD. ?T?.,37.19245762,37.3258599,52,5,,,
ASLANSOY PAMUK SAN. VE T?C. A.?.,37.18506639,37.3725145,96,5,,,
AV?AR HALI TEKST?L GIDA ÜRÜNLER? SAN. VE T?C. LTD. ?T?.,37.15033194,37.34089277,129,5,,,
AYKÜ ?PL?K SANAY? VE T?CARET LTD. ?T?.,37.19429002,37.32531472,70,5,,,
BALAT MENSUCAT SAN. VE T?C. LTD. ?T?,37.15456879,37.39272533,146,5,,,
BEFAN? TEKST?L SAN. VE T?C. LTD. ?T?.,37.18918994,37.36151226,18,5,,,
BELLA HALI SAN. VE T?C. LTD. ?T?.,37.14883942,37.33772546,101,5,,,
BERREKTEKS TEKST?L MAK?NA SAN. VE T?C. LTD. ?T?.,37.15947025,37.34524108,89,5,,,
BMK B?RL?K MAK?NA KALIP SAN. VE T?C. LTD. ?T?.,37.17092804,37.34180665,32,5,,,
BMS SAÇAK HALI TEKS. SAN. VE T?C. LTD. ?T?.,37.16300207,37.35058131,133,5,,,
BOZATLI TEKST?L HALI SAN. VE T?C. A.?.,37.18539742,37.34526253,116,5,,,
CENTRO TEKST?L SAN. VE T?C. LTD. ?T?.,37.18507317,37.36629412,55,5,,,
CELEMLER SENTET?K DOKUMA SAN. VE T?C. A.?.,37.20171959,37.33611715,78,5,,,
ÇENGEL ?PL?K TEKST?L SAN. VE T?C. A.?.,37.18925982,37.33257191,143,5,,,
D?LA ?PL?K DOKUMA BOYAMA SAN. VE T?C. LTD. ?T?.,37.1965014,37.30784832,61,5,,,
DOST KARDE?LER TEKST?L SAN. VE T?C. A.?.,37.1787421,37.37107166,127,5,,,
DURKAR HALI TEKST?L SAN. VE T?C. A.?.,37.18759913,37.35328504,95,5,,,
ERKE DANTEL TEKST?L SAN. VE T?C. A.?.,37.19463649,37.38557502,47,5,,,
ES-SAMER TEKST?L TUR?ZM GIDA SANAY? ?THALAT ?HRACAT VE T?C. LTD. ?T?.,37.19982188,37.30668934,114,5,,,
F?LAMENT TEKST?L SAN. VE T?C. A.?.,37.1807772,37.33890341,30,5,,,
GÜLER SENTET?K ÇUVAL TEKST?L SAN. VE T?C. A.?.,37.15503293,37.3455114,86,5,,,
HAKPA TEKST?L PAZARLAMA SAN. VE T?C. LTD. ?T?.,37.18925465,37.32345394,148,5,,,
H?LA AKTA? TEKST?L H?JYEN SA?LIK VE GIDA ÜRÜNLER? SAN. T?C.LTD. ?T?,37.08791905,37.43937858,64,5,,,
H?LAL SENTET?K DOKUMA SAN. VE T?C. LTD. ?T?.,37.19990464,37.30323984,83,5,,,
HONCOVER TEKST?L ?N?AAT VE ENERJ? T?C. A.?,37.17803804,37.35654853,27,5,,,
?MZA HALI TEKST?L GER? DÖNÜ?ÜM TOPLAMA VE AYRI?TIRMA SAN.T?C.LTD.?T?,37.15768398,37.33567676,102,5,,,
?NC? TEKST?L SAN. VE T?C. LTD. ?T?.,37.21331637,37.35222622,36,5,,,
KAD? TEKST?L GIDA SAN. VE T?C. LTD. ?T?,37.18696957,37.33206227,124,5,,,
KARAF?BER TEKST?L SAN. VE T?C. A.?,37.18330189,37.36415484,77,5,,,
KARYÜN HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.19242547,37.33175469,144,5,,,
KAYRA ?PL?K A.?.,37.16087139,37.32989892,53,5,,,
KERVANCI ?PL?K TEKST?L SAN. VE T?C. A.?.,37.18961502,37.37373726,109,5,,,
KORKMAZ ELYAF ?N?AAT SAN. VE T?C. LTD. ?T?.,37.15954271,37.34477478,24,5,,,
KR?STAL MENSUCAT SAN. VE T?C. LTD. ?T?.,37.18416832,37.35766058,94,5,,,
M?LAT HALI SAN. VE T?C. LTD. ?T?.,37.34333945,37.34333945,49,5,,,
MOLHAN TEKST?L SAN. VE T?C. A.?.,37.14274482,37.34220481,125,5,,,
MONA PP ?PL?K SAN. VE T?C. A.?.,37.16339184,37.29305777,62,5,,,
MONOF?BER TEKST?L TEKST?L SAN. VE T?C. LTD. ?T?.,37.18962924,37.3255761,87,5,,,
PRENS CARPET A.?,37.14093928,37.34302164,39,5,,,
PETSA TEKST?L A.?.,37.19170695,37.32205652,110,5,,,
PLATO HALI VE TEKS. SAN. ?TH. ?HR. T?C. LTD. ?T?.,37.19390026,37.3304193,58,5,,,
POLY GÜRTEKS TEKST?L SAN. VE T?C. A.?.,37.18087389,37.34803373,139,5,,,
R?VA KEÇEC? HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.17226955,37.34955304,65,5,,,
RUGTEK TEKST?L SAN. VE T?C. LTD. ?T?.,37.18967569,37.3365647,143,5,,,
Safa ?thalat Mafy Carpet,37.15951577,37.34075166,7,5,,,
SAFYÜN HALI TEKST?L SAN. VE T?C. A.?.,37.18942773,37.33754541,42,5,,,
SAYDAM TEKST?L SANAY? T?CARET LTD.?T?,37.18072054,37.33077648,115,5,,,
SAYIN TEKST?L SAN. VE T?C. A.?.,37.18526023,37.37171732,21,5,,,
SEBAT HALI SAN. VE T?C. A.?.,37.20323943,37.33607371,92,5,,,
SENOCO TEKST?L SAN. VE T?C. A.?.,37.17113775,37.34590519,46,5,,,
SH?MALL TEKST?L SENTET?K ELYAF DER? SAN. VE T?C. LTD. ?T?.,37.17945332,37.35245292,117,5,,,
SIRMA HALI TEKST?L SAN. VE T?C. A.?,37.19993348,37.30152924,59,5,,,
SMART POLYESTER A.?.,37.07170332,37.37386495,129,5,,,
?AHAN KARDE?LER TEKST?L HALI SAN.VE T?C.LTD.?T?.,37.18529276,37.33813853,74,5,,,
?EHZADE HALI SAN. VE T?C. A.?.,37.18657448,37.35512761,146,5,,,
S?REC? TEKST?L SAN. VE T?C. A.?.,37.16190999,37.31062481,15,5,,,
TAT CARPET SAN. VE T?C. A.?.,37.19275147,37.342728,81,5,,,
TEKSTÜRE TEKST?L SAN. VE T?C. LTD. ?T?.,37.15655504,37.33127023,118,5,,,
TÜMER HALI SANAY? VE T?CARET A.?.,37.17658388,37.33427404,44,5,,,
UCAR SENTET?K AMBALAJ SAN.T?C.LTD.?T?.,37.18812162,37.37881064,131,5,,,
U?URSER HALI TEKST?L SAN. VE T?C. A.?.,37.15673609,37.40565531,70,5,,,
ULUTA? ?Ç VE DI? T?C. LTD. ?T?.,37.19784745,37.30141124,125,5,,,
ÜSTÜNSOY HALI SAN. ?Ç VE DI? T?C.LTD. ?T?.,37.17161836,37.33091689,9,5,,,
VILLA TEKST?L PAZ. SAN. VE T?C. LTD. ?T?.,37.19398891,37.3226327,97,5,,,
V?STA HALI SAN. VE T?C. LTD. ?T?.,37.15204493,37.33807746,40,5,,,
YAKUT HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.19724459,37.32289567,119,5,,,
YALÇIN KARDE?LER HALI TEKST?L SAN. VE T?C. LTD. ?T?.,37.18706334,37.34518148,63,5,,,
YAS?N KAPLAN K?MYA SAN. VE T?C. A.?.,37.18723884,37.34789891,134,5,,,
YUSUF HALI TEKST?L SAN. VE T?C. LTD. ?T?,37.18170376,37.37942616,55,5,,,
YÜKSEL HALI VE TEKST?L SAN. T?C. LTD. ?T?,37.15894427,37.34008911,104,5,,,
ZEK? MENSUCAT SAN.VE T?C. A.?.,37.18814716,37.37347814,37,5,,,
ÖZPANÇAR ?PL?K TEKST?L SAN. VE T?C. LTD. ?T?.,37.18741545,37.31508425,125,5,,,
EKONET TEKST?L VE AMBALAJ SAN. T?C. A.?.,37.18598426,37.32722662,83,5,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
